id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
4690;Engenharia Mecânica;ET;Setor de Tecnologia;N;Bacharelado;Formatura;0,6968;144;15;0;0,104166667;0,331766221
13598;Engenharia Química;ET;Setor de Tecnologia;I;Bacharelado;Formatura;0,5069;175;51;0;0,291428571;0,331779215
17538;Administração;BE;Setor de Ciências Sociais Aplicadas;M;Bacharelado;Formatura;0,7495;62;1;0;0,016129032;0,331796414
53271;Secretariado;BE;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Formatura;0,7525;73;2;0;0,02739726;0,331797681
28916;Medicina Veterinária;LS;Setor de Ciências Agrárias;I;Bacharelado;Formatura;0,7206;70;2;0;0,028571429;0,331800217
59023;Gestão e Empreendedorismo;BE;Setor Litoral;N;Bacharelado;Abandono;0;7;4;1;0,571428571;0,331840281
44996;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,6866;106;11;0;0,103773585;0,331841118
41632;Gestão Pública;BE;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Abandono;0;5;5;1;1;0,331842344
47274;Engenharia de Produção;ET;Jandaia;T;Bacharelado;Abandono;0,8363;78;0;1;0;0,331864813
53776;Gestão Pública;BE;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Formatura;0,5927;69;12;0;0,173913043;0,331869115
60370;Pedagogia;ED;Setor de Educação;M;Licenciatura;Formatura;0,9139;77;0;0;0;0,331879687
52075;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Formatura;0,8747;88;2;0;0,022727273;0,331890744
48194;Luteria;AH;Setor de Educação Profissional e Tecnológica;I;Tecnológico;Formatura;0,6866;57;5;0;0,087719298;0,331894789
53933;Pedagogia;ED;Setor de Educação;M;Licenciatura;Formatura;0,9505;88;0;0;0;0,331895155
31310;Farmácia;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,689;188;14;0;0,074468085;0,331912559
16240;Engenharia Cartográfica e de Agrimensura;ET;Setor de Ciências da Terra;I;Bacharelado;Formatura;0,748;96;1;0;0,010416667;0,331943173
75534;Administração Pública;BE;Setor Litoral;N;Bacharelado;Sem evasão;0,8173;30;3;0;0,1;0,331955701
33935;Agroecologia;LS;Setor Litoral;M;Tecnológico;Abandono;0;17;3;1;0,176470588;0,332024212
